fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.6,0.38,0.15,4.6,0.044000000000000004,25.0,78.0,0.0,1.0,0.38,1.0,1
7.4,0.2,0.36,1.2,0.038,44.0,111.0,0.0,1.0,0.34,1.0,1
6.8,0.22,0.24,4.9,0.092,30.0,123.0,0.0,1.0,0.46,0.0,1
6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.0,1.0,0.36,0.0,1
7.0,0.47,0.07,1.1,0.035,17.0,151.0,0.0,1.0,0.34,1.0,0
6.6,0.38,0.15,4.6,0.044000000000000004,25.0,78.0,0.0,1.0,0.38,1.0,1
7.2,0.24,0.27,1.4,0.038,31.0,122.0,0.0,1.0,0.46,1.0,1
6.2,0.35,0.03,1.2,0.064,29.0,120.0,0.0,1.0,0.54,1.0,0
6.4,0.26,0.24,6.4,0.04,27.0,124.0,0.0,1.0,0.49,1.0,1
6.7,0.25,0.13,1.2,0.040999999999999995,81.0,174.0,0.0,1.0,0.42,1.0,0
6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.0,1.0,0.64,1.0,1
7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.0,1.0,0.35,1.0,0
6.2,0.27,0.43,7.8,0.055999999999999994,48.0,244.0,0.0,1.0,0.51,1.0,1
6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.0,1.0,0.6,1.0,0
6.0,0.27,0.28,4.8,0.063,31.0,201.0,0.0,1.0,0.71,1.0,0
8.6,0.23,0.46,1.0,0.054000000000000006,9.0,72.0,0.0,0.0,0.49,1.0,1
6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.0,1.0,0.64,1.0,1
7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.0,1.0,0.35,1.0,0
7.1,0.18,0.36,1.4,0.043,31.0,87.0,0.0,1.0,0.37,1.0,1
7.0,0.32,0.34,1.3,0.042,20.0,69.0,0.0,1.0,0.65,1.0,1
7.4,0.18,0.3,8.8,0.064,26.0,103.0,0.0,0.0,0.56,1.0,0
6.7,0.54,0.28,5.4,0.06,21.0,105.0,0.0,1.0,0.37,1.0,0
6.8,0.22,0.31,1.4,0.053,34.0,114.0,0.0,1.0,0.77,1.0,1
7.1,0.2,0.34,16.0,0.05,51.0,166.0,0.0,1.0,0.6,1.0,1
7.1,0.34,0.2,6.1,0.063,47.0,164.0,0.0,1.0,0.42,1.0,0
7.3,0.22,0.3,8.2,0.047,42.0,207.0,0.0,1.0,0.46,1.0,1
7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.0,1.0,0.45,0.0,0
7.1,0.44,0.62,11.8,0.044000000000000004,52.0,152.0,0.0,1.0,0.46,0.0,1
7.2,0.39,0.63,11.0,0.044000000000000004,55.0,156.0,0.0,1.0,0.44,0.0,1
6.8,0.25,0.31,13.3,0.05,69.0,202.0,0.0,1.0,0.48,1.0,1
7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.0,1.0,0.45,0.0,0
7.1,0.44,0.62,11.8,0.044000000000000004,52.0,152.0,0.0,1.0,0.46,0.0,1
7.2,0.39,0.63,11.0,0.044000000000000004,55.0,156.0,0.0,1.0,0.44,0.0,1
6.1,0.27,0.43,7.5,0.049,65.0,243.0,0.0,1.0,0.47,1.0,0
6.9,0.24,0.33,1.7,0.035,47.0,136.0,0.0,1.0,0.4,1.0,1
6.9,0.21,0.33,1.8,0.034,48.0,136.0,0.0,1.0,0.41,1.0,1
7.5,0.17,0.32,1.7,0.04,51.0,148.0,0.0,1.0,0.44,1.0,1
7.1,0.26,0.29,12.4,0.044000000000000004,62.0,240.0,0.0,1.0,0.42,1.0,1
6.0,0.34,0.66,15.9,0.046,26.0,164.0,0.0,1.0,0.5,0.0,1
8.6,0.265,0.36,1.2,0.034,15.0,80.0,0.0,0.0,0.36,1.0,1
9.8,0.36,0.46,10.5,0.038,4.0,83.0,0.0,0.0,0.3,1.0,0
6.0,0.34,0.66,15.9,0.046,26.0,164.0,0.0,1.0,0.5,0.0,1
7.4,0.25,0.37,13.5,0.06,52.0,192.0,0.0,1.0,0.44,1.0,0
7.1,0.12,0.32,9.6,0.054000000000000006,64.0,162.0,0.0,1.0,0.41,1.0,0
6.0,0.21,0.24,12.1,0.05,55.0,164.0,0.0,1.0,0.39,1.0,0
7.5,0.305,0.4,18.9,0.059000000000000004,44.0,170.0,1.0,0.0,0.46,1.0,0
7.4,0.25,0.37,13.5,0.06,52.0,192.0,0.0,1.0,0.44,1.0,0
7.3,0.13,0.32,14.4,0.051,34.0,109.0,0.0,1.0,0.35,1.0,1
7.1,0.12,0.32,9.6,0.054000000000000006,64.0,162.0,0.0,1.0,0.41,1.0,0
7.1,0.23,0.35,16.5,0.04,60.0,171.0,0.0,1.0,0.59,1.0,1
7.1,0.23,0.35,16.5,0.04,60.0,171.0,0.0,1.0,0.59,1.0,1
6.9,0.33,0.28,1.3,0.051,37.0,187.0,0.0,1.0,0.6,1.0,0
6.5,0.17,0.54,8.5,0.08199999999999999,64.0,163.0,0.0,0.0,0.39,0.0,1
7.2,0.27,0.46,18.75,0.052000000000000005,45.0,255.0,1.0,1.0,0.52,0.0,0
7.2,0.31,0.5,13.3,0.055999999999999994,68.0,195.0,0.0,1.0,0.47,1.0,0
6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.0,1.0,0.51,1.0,0
6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.0,1.0,0.51,1.0,0
5.5,0.485,0.0,1.5,0.065,8.0,103.0,0.0,1.0,0.4,1.0,0
6.0,0.31,0.24,3.3,0.040999999999999995,25.0,143.0,0.0,1.0,0.44,1.0,1
7.0,0.14,0.4,1.7,0.035,16.0,85.0,0.0,1.0,0.42,1.0,1
7.2,0.31,0.5,13.3,0.055999999999999994,68.0,195.0,0.0,1.0,0.47,1.0,0
7.3,0.32,0.48,13.3,0.06,57.0,196.0,0.0,1.0,0.5,1.0,0
5.9,0.36,0.04,5.7,0.046,21.0,87.0,0.0,1.0,0.51,1.0,0
7.8,0.24,0.32,12.2,0.054000000000000006,42.0,138.0,0.0,1.0,0.54,0.0,0
7.4,0.16,0.31,6.85,0.059000000000000004,31.0,131.0,0.0,1.0,0.34,1.0,0
6.9,0.19,0.28,5.0,0.057999999999999996,14.0,146.0,0.0,1.0,0.36,1.0,1
6.4,0.13,0.47,1.6,0.092,40.0,158.0,0.0,1.0,0.36,1.0,1
6.7,0.19,0.36,1.1,0.026000000000000002,63.0,143.0,0.0,1.0,0.48,1.0,1
7.4,0.39,0.23,7.0,0.033,29.0,126.0,0.0,1.0,0.42,1.0,0
6.5,0.24,0.32,7.6,0.038,48.0,203.0,0.0,1.0,0.54,1.0,1
6.1,0.3,0.56,2.8,0.044000000000000004,47.0,179.0,0.0,1.0,0.57,1.0,1
6.1,0.3,0.56,2.7,0.046,46.0,184.0,0.0,1.0,0.57,1.0,1
5.7,0.26,0.25,10.4,0.02,7.0,57.0,0.0,1.0,0.37,1.0,0
6.5,0.24,0.32,7.6,0.038,48.0,203.0,0.0,1.0,0.54,1.0,1
6.5,0.425,0.4,13.1,0.038,59.0,241.0,0.0,1.0,0.57,1.0,0
6.6,0.24,0.27,15.8,0.035,46.0,188.0,0.0,1.0,0.51,1.0,0
6.8,0.27,0.22,8.1,0.034,55.0,203.0,0.0,1.0,0.52,0.0,0
6.7,0.27,0.31,15.7,0.036000000000000004,44.0,179.0,0.0,1.0,0.56,1.0,0
8.2,0.23,0.4,1.2,0.027000000000000003,36.0,121.0,0.0,1.0,0.38,1.0,1
7.1,0.37,0.67,10.5,0.045,49.0,155.0,0.0,1.0,0.44,0.0,0
6.8,0.19,0.36,1.9,0.035,30.0,96.0,0.0,1.0,0.54,1.0,1
8.1,0.28,0.39,1.9,0.028999999999999998,18.0,79.0,0.0,1.0,0.52,1.0,1
6.3,0.31,0.34,2.2,0.045,20.0,77.0,0.0,1.0,0.43,1.0,0
7.1,0.37,0.67,10.5,0.045,49.0,155.0,0.0,1.0,0.44,0.0,0
7.9,0.21,0.4,1.2,0.039,38.0,107.0,0.0,1.0,0.54,1.0,1
8.5,0.21,0.41,4.3,0.036000000000000004,24.0,99.0,0.0,1.0,0.53,1.0,1
8.1,0.2,0.4,2.0,0.037000000000000005,19.0,87.0,0.0,1.0,0.54,1.0,1
6.3,0.255,0.37,1.1,0.04,37.0,114.0,0.0,1.0,0.39,1.0,1
5.6,0.16,0.27,1.4,0.044000000000000004,53.0,168.0,0.0,1.0,0.37,1.0,1
6.4,0.595,0.14,5.2,0.057999999999999996,15.0,97.0,0.0,1.0,0.36,1.0,0
6.3,0.34,0.33,4.6,0.034,19.0,80.0,0.0,1.0,0.58,1.0,1
6.9,0.25,0.3,4.1,0.054000000000000006,23.0,116.0,0.0,0.0,0.38,1.0,1
7.9,0.22,0.38,8.0,0.043,46.0,152.0,0.0,1.0,0.32,1.0,1
7.6,0.18,0.46,10.2,0.055,58.0,135.0,0.0,1.0,0.43,1.0,1
6.9,0.25,0.3,4.1,0.054000000000000006,23.0,116.0,0.0,0.0,0.38,1.0,1
7.2,0.18,0.41,1.2,0.048,41.0,97.0,0.0,1.0,0.45,1.0,0
8.2,0.23,0.4,7.5,0.049,12.0,76.0,0.0,1.0,0.84,1.0,1
7.4,0.24,0.42,14.0,0.066,48.0,198.0,0.0,0.0,0.42,0.0,1
7.4,0.24,0.42,14.0,0.066,48.0,198.0,0.0,0.0,0.42,0.0,1
6.1,0.32,0.24,1.5,0.036000000000000004,38.0,124.0,0.0,1.0,0.42,1.0,1
5.2,0.44,0.04,1.4,0.036000000000000004,43.0,119.0,0.0,1.0,0.33,1.0,1
5.2,0.44,0.04,1.4,0.036000000000000004,43.0,119.0,0.0,1.0,0.33,1.0,1
6.1,0.32,0.24,1.5,0.036000000000000004,38.0,124.0,0.0,1.0,0.42,1.0,1
6.4,0.22,0.56,14.5,0.055,27.0,159.0,0.0,0.0,0.4,1.0,0
6.3,0.36,0.3,4.8,0.049,14.0,85.0,0.0,1.0,0.39,1.0,0
7.4,0.24,0.42,14.0,0.066,48.0,198.0,0.0,0.0,0.42,0.0,1
6.7,0.24,0.35,13.1,0.05,64.0,205.0,0.0,1.0,0.5,1.0,0
7.0,0.23,0.36,13.0,0.051,72.0,177.0,0.0,1.0,0.49,1.0,0
8.4,0.27,0.46,8.7,0.048,39.0,197.0,0.0,1.0,0.59,1.0,1
6.7,0.46,0.18,2.4,0.034,25.0,98.0,0.0,1.0,0.44,1.0,1
7.5,0.29,0.31,8.95,0.055,20.0,151.0,0.0,1.0,0.54,1.0,0
9.8,0.42,0.48,9.85,0.034,5.0,110.0,0.0,0.0,0.29,1.0,0
7.1,0.3,0.46,1.5,0.066,29.0,133.0,0.0,1.0,0.54,1.0,1
7.9,0.19,0.45,1.5,0.045,17.0,96.0,0.0,1.0,0.39,1.0,1
7.6,0.48,0.37,0.8,0.037000000000000005,4.0,100.0,0.0,1.0,0.39,1.0,0
6.3,0.22,0.43,4.55,0.038,31.0,130.0,0.0,1.0,0.33,1.0,1
7.5,0.27,0.31,17.7,0.051,33.0,173.0,0.0,1.0,0.64,1.0,0
6.9,0.23,0.4,7.5,0.04,50.0,151.0,0.0,1.0,0.27,1.0,1
7.2,0.32,0.47,5.1,0.044000000000000004,19.0,65.0,0.0,1.0,0.41,1.0,0
5.9,0.23,0.3,12.9,0.054000000000000006,57.0,170.0,0.0,1.0,0.39,1.0,0
6.0,0.67,0.07,1.2,0.06,9.0,108.0,0.0,1.0,0.35,0.0,0
6.4,0.25,0.32,5.5,0.049,41.0,176.0,0.0,1.0,0.68,1.0,1
6.4,0.33,0.31,5.5,0.048,42.0,173.0,0.0,1.0,0.66,1.0,1
7.1,0.34,0.15,1.2,0.053,61.0,183.0,0.0,1.0,0.43,1.0,0
6.8,0.28,0.4,22.0,0.048,48.0,167.0,1.0,0.0,0.5,0.0,0
6.9,0.27,0.4,14.0,0.05,64.0,227.0,0.0,1.0,0.58,1.0,1
6.8,0.26,0.56,11.9,0.043,64.0,226.0,0.0,1.0,0.63,1.0,0
6.8,0.29,0.56,11.9,0.043,66.0,230.0,0.0,1.0,0.63,1.0,0
6.7,0.24,0.41,9.4,0.04,49.0,166.0,0.0,1.0,0.61,1.0,1
5.9,0.3,0.23,4.2,0.038,42.0,119.0,0.0,1.0,0.5,1.0,0
6.8,0.53,0.35,3.8,0.034,26.0,109.0,0.0,1.0,0.57,1.0,1
6.5,0.28,0.28,8.5,0.047,54.0,210.0,0.0,1.0,0.54,0.0,0
6.6,0.28,0.28,8.5,0.052000000000000005,55.0,211.0,0.0,1.0,0.55,0.0,1
6.8,0.28,0.4,22.0,0.048,48.0,167.0,1.0,0.0,0.5,0.0,0
6.8,0.28,0.36,8.0,0.045,28.0,123.0,0.0,1.0,0.37,1.0,1
6.6,0.15,0.34,5.1,0.055,34.0,125.0,0.0,1.0,0.42,1.0,0
6.4,0.29,0.44,3.6,0.2,75.0,181.0,0.0,1.0,0.41,1.0,0
6.4,0.3,0.45,3.5,0.19699999999999998,76.0,180.0,0.0,1.0,0.39,1.0,1
6.4,0.29,0.44,3.6,0.19699999999999998,75.0,183.0,0.0,1.0,0.38,1.0,0
6.8,0.26,0.24,7.8,0.052000000000000005,54.0,214.0,0.0,1.0,0.47,0.0,0
7.1,0.32,0.24,13.1,0.05,52.0,204.0,0.0,1.0,0.49,0.0,0
6.8,0.26,0.24,7.8,0.052000000000000005,54.0,214.0,0.0,1.0,0.47,0.0,0
6.8,0.27,0.26,16.1,0.049,55.0,196.0,0.0,1.0,0.5,1.0,0
7.1,0.32,0.24,13.1,0.05,52.0,204.0,0.0,1.0,0.49,0.0,0
6.9,0.54,0.32,13.2,0.05,53.0,236.0,0.0,1.0,0.5,1.0,0
6.8,0.26,0.34,13.9,0.034,39.0,134.0,0.0,1.0,0.53,1.0,1
5.8,0.28,0.35,2.3,0.053,36.0,114.0,0.0,1.0,0.5,1.0,0
6.4,0.21,0.5,11.6,0.042,45.0,153.0,0.0,1.0,0.43,0.0,0
7.0,0.16,0.32,8.3,0.045,38.0,126.0,0.0,1.0,0.34,1.0,0
10.2,0.44,0.88,6.2,0.049,20.0,124.0,0.0,0.0,0.51,1.0,0
6.8,0.57,0.29,2.2,0.04,15.0,77.0,0.0,1.0,0.74,1.0,0
6.1,0.4,0.31,0.9,0.048,23.0,170.0,0.0,1.0,0.77,1.0,1
5.6,0.245,0.25,9.7,0.032,12.0,68.0,0.0,1.0,0.34,1.0,0
6.8,0.18,0.38,1.4,0.038,35.0,111.0,0.0,1.0,0.59,1.0,1
7.0,0.16,0.32,8.3,0.045,38.0,126.0,0.0,1.0,0.34,1.0,0
6.7,0.13,0.29,5.3,0.051,31.0,122.0,0.0,1.0,0.37,1.0,1
6.2,0.25,0.25,1.4,0.03,35.0,105.0,0.0,1.0,0.44,1.0,1
5.8,0.26,0.24,9.2,0.044000000000000004,55.0,152.0,0.0,1.0,0.38,1.0,0
7.5,0.27,0.36,7.0,0.036000000000000004,45.0,164.0,0.0,1.0,0.33,1.0,0
5.8,0.26,0.24,9.2,0.044000000000000004,55.0,152.0,0.0,1.0,0.38,1.0,0
5.7,0.28,0.24,17.5,0.044000000000000004,60.0,167.0,0.0,1.0,0.44,1.0,0
7.5,0.23,0.36,7.0,0.036000000000000004,43.0,161.0,0.0,1.0,0.32,1.0,0
7.5,0.27,0.36,7.0,0.036000000000000004,45.0,164.0,0.0,1.0,0.33,1.0,0
7.2,0.685,0.21,9.5,0.07,33.0,172.0,0.0,1.0,0.55,1.0,1
6.2,0.25,0.25,1.4,0.03,35.0,105.0,0.0,1.0,0.44,1.0,1
6.5,0.19,0.3,0.8,0.043,33.0,144.0,0.0,1.0,0.39,1.0,1
6.3,0.495,0.22,1.8,0.046,31.0,140.0,0.0,1.0,0.54,1.0,1
7.1,0.24,0.41,17.8,0.046,39.0,145.0,0.0,1.0,0.39,0.0,0
6.4,0.17,0.32,2.4,0.048,41.0,200.0,0.0,1.0,0.5,1.0,1
7.1,0.25,0.32,10.3,0.040999999999999995,66.0,272.0,0.0,1.0,0.52,1.0,1
6.4,0.17,0.32,2.4,0.048,41.0,200.0,0.0,1.0,0.5,1.0,1
7.1,0.24,0.41,17.8,0.046,39.0,145.0,0.0,1.0,0.39,0.0,0
6.8,0.64,0.08,9.7,0.062,26.0,142.0,0.0,1.0,0.46,0.0,0
8.3,0.28,0.4,7.8,0.040999999999999995,38.0,194.0,0.0,1.0,0.51,1.0,1
8.2,0.27,0.39,7.8,0.039,49.0,208.0,0.0,1.0,0.51,1.0,1
7.2,0.23,0.38,14.3,0.057999999999999996,55.0,194.0,0.0,1.0,0.44,1.0,1
7.2,0.23,0.38,14.3,0.057999999999999996,55.0,194.0,0.0,1.0,0.44,1.0,1
7.2,0.23,0.38,14.3,0.057999999999999996,55.0,194.0,0.0,1.0,0.44,1.0,1
7.2,0.23,0.38,14.3,0.057999999999999996,55.0,194.0,0.0,1.0,0.44,1.0,1
6.8,0.52,0.32,13.2,0.044000000000000004,54.0,221.0,0.0,1.0,0.5,1.0,1
7.0,0.26,0.59,1.4,0.037000000000000005,40.0,120.0,0.0,1.0,0.41,1.0,1
6.2,0.25,0.21,15.55,0.039,28.0,159.0,0.0,1.0,0.64,1.0,1
7.3,0.32,0.23,13.7,0.05,49.0,197.0,0.0,1.0,0.46,0.0,0
7.7,0.31,0.26,7.8,0.031,23.0,90.0,0.0,1.0,0.5,1.0,0
7.1,0.21,0.37,2.4,0.026000000000000002,23.0,100.0,0.0,1.0,0.38,1.0,1
6.8,0.24,0.34,2.7,0.047,64.5,218.5,0.0,1.0,0.58,1.0,1
6.9,0.4,0.56,11.2,0.043,40.0,142.0,0.0,1.0,0.46,0.0,0
6.1,0.18,0.36,2.0,0.038,20.0,249.5,0.0,1.0,0.79,1.0,1
6.8,0.21,0.27,2.1,0.03,26.0,139.0,0.0,1.0,0.61,1.0,1
5.8,0.2,0.27,1.4,0.031,12.0,77.0,0.0,1.0,0.36,1.0,1
5.6,0.19,0.26,1.4,0.03,12.0,76.0,0.0,1.0,0.37,1.0,1
6.1,0.41,0.14,10.4,0.037000000000000005,18.0,119.0,0.0,1.0,0.45,1.0,0
5.9,0.21,0.28,4.6,0.053,40.0,199.0,0.0,1.0,0.7,1.0,0
8.5,0.26,0.21,16.2,0.07400000000000001,41.0,197.0,0.0,1.0,0.5,1.0,0
6.9,0.4,0.56,11.2,0.043,40.0,142.0,0.0,1.0,0.46,0.0,0
5.8,0.24,0.44,3.5,0.028999999999999998,5.0,109.0,0.0,1.0,0.43,1.0,0
5.8,0.24,0.39,1.5,0.054000000000000006,37.0,158.0,0.0,1.0,0.52,1.0,1
6.7,0.26,0.39,1.1,0.04,45.0,147.0,0.0,1.0,0.58,1.0,1
6.3,0.35,0.3,5.7,0.035,8.0,97.0,0.0,1.0,0.41,1.0,1
6.3,0.35,0.3,5.7,0.035,8.0,97.0,0.0,1.0,0.41,1.0,1
6.4,0.23,0.39,1.8,0.032,23.0,118.0,0.0,1.0,0.5,1.0,1
5.8,0.36,0.38,0.9,0.037000000000000005,3.0,75.0,0.0,1.0,0.34,1.0,0
6.9,0.115,0.35,5.4,0.048,36.0,108.0,0.0,1.0,0.42,1.0,1
6.9,0.29,0.4,19.45,0.043,36.0,156.0,0.0,0.0,0.47,0.0,0
6.9,0.28,0.4,8.2,0.036000000000000004,15.0,95.0,0.0,1.0,0.33,1.0,0
7.2,0.29,0.4,13.6,0.045,66.0,231.0,0.0,1.0,0.59,1.0,1
6.2,0.24,0.35,1.2,0.038,22.0,167.0,0.0,1.0,0.48,1.0,1
6.9,0.29,0.4,19.45,0.043,36.0,156.0,0.0,0.0,0.47,0.0,0
6.9,0.32,0.26,8.3,0.053,32.0,180.0,0.0,1.0,0.51,1.0,1
5.3,0.58,0.07,6.9,0.043,34.0,149.0,0.0,1.0,0.57,1.0,0
5.3,0.585,0.07,7.1,0.044000000000000004,34.0,145.0,0.0,1.0,0.57,1.0,1
5.4,0.59,0.07,7.0,0.045,36.0,147.0,0.0,1.0,0.57,1.0,1
6.9,0.32,0.26,8.3,0.053,32.0,180.0,0.0,1.0,0.51,1.0,1
5.2,0.6,0.07,7.0,0.044000000000000004,33.0,147.0,0.0,1.0,0.58,1.0,0
5.8,0.25,0.26,13.1,0.051,44.0,148.0,0.0,1.0,0.38,1.0,0
6.6,0.58,0.3,5.1,0.057,30.0,123.0,0.0,1.0,0.38,1.0,0
7.0,0.29,0.54,10.7,0.046,59.0,234.0,0.0,1.0,0.61,1.0,0
6.6,0.19,0.41,8.9,0.046,51.0,169.0,0.0,1.0,0.57,1.0,1
6.7,0.2,0.41,9.1,0.044000000000000004,50.0,166.0,0.0,1.0,0.58,1.0,1
7.7,0.26,0.4,1.1,0.042,9.0,60.0,0.0,0.0,0.5,1.0,0
6.8,0.32,0.34,1.2,0.044000000000000004,14.0,67.0,0.0,1.0,0.47,1.0,0
7.0,0.3,0.49,4.7,0.036000000000000004,17.0,105.0,0.0,1.0,0.68,1.0,1
7.0,0.24,0.36,2.8,0.034,22.0,112.0,0.0,1.0,0.38,1.0,1
6.1,0.31,0.58,5.0,0.039,36.0,114.0,0.0,1.0,0.6,1.0,1
6.8,0.44,0.37,5.1,0.047,46.0,201.0,0.0,1.0,0.65,1.0,0
6.7,0.34,0.3,15.6,0.054000000000000006,51.0,196.0,0.0,1.0,0.49,1.0,0
7.1,0.35,0.24,15.4,0.055,46.0,198.0,0.0,1.0,0.49,0.0,0
7.3,0.32,0.25,7.2,0.055999999999999994,47.0,180.0,0.0,1.0,0.47,0.0,0
6.5,0.28,0.33,15.7,0.053,51.0,190.0,0.0,1.0,0.51,1.0,1
7.2,0.23,0.39,14.2,0.057999999999999996,49.0,192.0,0.0,0.0,0.48,1.0,1
7.2,0.23,0.39,14.2,0.057999999999999996,49.0,192.0,0.0,0.0,0.48,1.0,1
7.2,0.23,0.39,14.2,0.057999999999999996,49.0,192.0,0.0,0.0,0.48,1.0,1
7.2,0.23,0.39,14.2,0.057999999999999996,49.0,192.0,0.0,0.0,0.48,1.0,1
